committee_id,report_year,report_type,image_number,line_number,transaction_id,file_number,original_sub_id,committee_designated_coordinated_expenditure_indicator,committee_name,entity_type,entity_type_desc,designated_committee_id,designated_committee_name,subordinate_committee_id,payee_name,payee_last_name,payee_middle_name,payee_first_name,aggregate_general_election_expenditure,expenditure_type,expenditure_type_full,expenditure_purpose_full,expenditure_date,expenditure_amount,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,action_code,action_code_full,back_reference_transaction_id,back_reference_schedule_name,memo_code,memo_code_full,unlimited_spending_flag,unlimited_spending_flag_full,catolog_code,catolog_code_full,schedule_type_full,load_date,filing_form,link_id,sub_id,memo_text,schedule_type,election_cycle
C00075820,2022,30G,202212089550373767,25,,1670632,4121420221636552034,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,AMERICAN MEDIA & ADVOCACY GROUP,,,,100000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-27 00:00:00,100000.00,H0FL26036,"GIMENEZ, CARLOS",,CARLOS,,GIMENEZ,,H,HOUSE,FL,FLORIDA,26,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240325,,SF,2022
C00075820,2022,30G,202212089550373767,25,,1670632,4121420221636552035,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,AX MEDIA,,,,100000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-26 00:00:00,100000.00,H2NY25082,"SINGLETARY, LA'RON",,LA'RON,,SINGLETARY,,H,HOUSE,NY,NEW YORK,25,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240326,,SF,2022
C00075820,2022,30G,202212089550373767,25,,1670632,4121420221636552036,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,AX MEDIA,,,,50000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-11-03 00:00:00,50000.00,H0NY20111,"JOY, ELIZABETH",,ELIZABETH,,JOY,,H,HOUSE,NY,NEW YORK,20,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240327,,SF,2022
C00075820,2022,30G,202212089550373768,25,,1670632,4121420221636552037,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,ONMESSAGE INC,,,,102975.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-24 00:00:00,102975.00,H2VA10240,"CAO, HUNG",,HUNG,,CAO,,H,HOUSE,VA,VIRGINIA,10,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240328,,SF,2022
C00075820,2022,30G,202212089550373768,25,,1670632,4121420221636552038,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,PERSON 2 PERSON MESSAGING,,,,60000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-27 00:00:00,60000.00,H4PA18131,"DOYLE, MIKE",,MIKE,,DOYLE,,H,HOUSE,PA,PENNSYLVANIA,12,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240329,,SF,2022
C00075820,2022,30G,202212089550373768,25,,1670632,4121420221636552039,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,PROPER MEDIA,,,,103000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-28 00:00:00,103000.00,H0MI02094,"HUIZENGA, WILLIAM",,WILLIAM,,HUIZENGA,,H,HOUSE,MI,MICHIGAN,04,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240330,,SF,2022
C00075820,2022,30G,202212089550373769,25,,1670632,4121420221636552040,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,SMART MEDIA GROUP,,,,103000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-21 00:00:00,103000.00,H0IL17083,"KING, ESTHER JOY",,ESTHER,JOY,KING,,H,HOUSE,IL,ILLINOIS,17,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240331,,SF,2022
C00075820,2022,30G,202212089550373769,25,,1670632,4121420221636552041,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,SMART MEDIA GROUP,,,,103000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-11-02 00:00:00,103000.00,H2CA09139,"PATTI, THOMAS",,THOMAS,,PATTI,,H,HOUSE,CA,CALIFORNIA,09,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240332,,SF,2022
C00075820,2022,30G,202212089550373769,25,,1670632,4121420221636552042,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,SRCP MEDIA INC,,,,103000.00,24C,COORDINATED EXPENDITURE,MEDIA,2022-10-20 00:00:00,103000.00,H2CA03157,"KILEY, KEVIN",,KEVIN,,KILEY,,H,HOUSE,CA,CALIFORNIA,03,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240333,,SF,2022
C00075820,2022,30G,202212089550373770,25,,1670632,4121420221636552043,Y,,ORG,ORGANIZATION,C00003418,REPUBLICAN NATIONAL COMMITTEE,C00075820,CONCUR TECHNOLOGIES INC,,,,104191.27,24C,COORDINATED EXPENDITURE,TRAVEL SERVICE PAYMENT,2022-10-31 00:00:00,1191.27,H4MT01041,"ZINKE, RYAN",,RYAN,,ZINKE,,H,HOUSE,MT,MONTANA,01,,,,,,,,A,ADD,,,,,,,,,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2022-12-16 03:32:14,F3X,1120920220265182551,1121420220265240334,,SF,2022
