name,office,party,state,district
GREENE CLIFFORD MARK,H,DEMOCRATIC PARTY,AK,0
CRAWFORD HARRY T JR,H,DEMOCRATIC PARTY,AK,0
COX JOHN R.,H,REPUBLICAN PARTY,AK,0
"PARNELL KEVIN ""PAT""",H,DEMOCRATIC PARTY,AK,1
DEVENS JOHN S,H,DEMOCRATIC PARTY,AK,0
FISHER SHELDON ALLRED,H,REPUBLICAN PARTY,AK,0
BOZEMAN MARTHA RENEE,H,UNKNOWN,AL,7
GOUNARES PETER HUNTER,H,REPUBLICAN PARTY,AL,1
WALTER DAVID MARSH,H,CONSTITUTION PARTY,AL,1
CARL JERRY LEE JR,H,REPUBLICAN PARTY,AL,1
LAMBERT DOUGLAS WESTLEY III,H,REPUBLICAN PARTY,AL,1
PRINGLE CHRISTOPHER PAUL,H,REPUBLICAN PARTY,AL,1
HIGHTOWER BILL,H,REPUBLICAN PARTY,AL,1
AVERHART JAMES,H,DEMOCRATIC PARTY,AL,2
GARDNER KIANI A,H,DEMOCRATIC PARTY,AL,1
CASTORANI JOHN,H,REPUBLICAN PARTY,AL,1
COLLINS FREDERICK G. RICK',H,DEMOCRATIC PARTY,AL,1
BAGGIANO FAYE S,H,DEMOCRATIC PARTY,AL,2
MCGAHAN WALLACE BYRON JR,H,LIBERTARIAN PARTY,AL,2
ROBY MARTHA,H,REPUBLICAN PARTY,AL,2
BARBER RICK JOE,H,REPUBLICAN PARTY,AL,2
BELL STEPHANIE WOLFE,H,REPUBLICAN PARTY,AL,2
DISMUKES WILL,H,REPUBLICAN PARTY,AL,2
COLEMAN JEFF,H,REPUBLICAN PARTY,AL,2
KING TROY,H,REPUBLICAN PARTY,AL,2
BROWN THOMAS WILLIAM JR.,H,REPUBLICAN PARTY,AL,2
TAYLOR JESSICA,H,REPUBLICAN PARTY,AL,2
HASDORFF TERRI,H,REPUBLICAN PARTY,AL,2
HARVEY-HALL PHYLLIS,H,DEMOCRATIC PARTY,AL,2
BROWDER JOHN GLEN,H,DEMOCRATIC PARTY,AL,3
ROBBINS RAY F II,H,REPUBLICAN PARTY,AL,3
RICE JOHN,H,REPUBLICAN PARTY,AL,3
ADAMS CHARLES H,H,DEMOCRATIC PARTY,AL,3
JAMES MICHAEL K,H,REPUBLICAN PARTY,AL,3
DIAL GERALD OSCAR,H,DEMOCRATIC PARTY,AL,3
HOLMES DONALD G,H,DEMOCRATIC PARTY,AL,3
PREUITT JAMES E,H,DEMOCRATIC PARTY,AL,3
EVANS CHARLES RAY,H,UNKNOWN,AL,3
SLEDGE ROLAND DONALD,H,REPUBLICAN PARTY,AL,3
SEGREST STEPHEN GRAHAM,H,DEMOCRATIC PARTY,AL,3
FOLSOM MARSHA GUTHRIE,H,DEMOCRATIC PARTY,AL,4
ASQUITH JAMES EDWARD,H,REPUBLICAN PARTY,AL,5
"CRAMER ROBERT E ""BUD"" JR",H,DEMOCRATIC PARTY,AL,5
FROST JAMES EDDIE,H,DEMOCRATIC PARTY,AL,5
GREER BAYLESS LYNN,H,DEMOCRATIC PARTY,AL,5
TERRY GARLAND DOUGLAS,H,DEMOCRATIC PARTY,AL,5
PRATT EVELYN,H,DEMOCRATIC PARTY,AL,5
MCDONALD ALBERT CLYDE,H,REPUBLICAN PARTY,AL,5
WELLS ANNIE BULLARD,H,REPUBLICAN PARTY,AL,5
WOOD DAVID ANDREW,H,DEMOCRATIC PARTY,AL,5
SPEARS WILLIAM EARL,H,DEMOCRATIC PARTY,AL,5
PHILLIP LESTER S,H,REPUBLICAN PARTY,AL,5
BROOKS MO,H,REPUBLICAN PARTY,AL,5
HOWIE MITCHELL JOHN,H,DEMOCRATIC PARTY,AL,5
