name,office_full,party_full,state,district,candidate_id
WHITTAKER RICHARD,House,DEMOCRATIC PARTY,AK,0,H0AK00014
GREENE CLIFFORD MARK,House,DEMOCRATIC PARTY,AK,0,H0AK00055
CRAWFORD HARRY T JR,House,DEMOCRATIC PARTY,AK,0,H0AK00089
COX JOHN R.,House,REPUBLICAN PARTY,AK,0,H0AK00097
"PARNELL KEVIN ""PAT""",House,DEMOCRATIC PARTY,AK,1,H0AK01012
DEVENS JOHN S,House,DEMOCRATIC PARTY,AK,0,H0AK01020
FISHER SHELDON ALLRED,House,REPUBLICAN PARTY,AK,0,H0AK01038
BOZEMAN MARTHA RENEE,House,UNKNOWN,AL,7,H0AL00016
GOUNARES PETER HUNTER,House,REPUBLICAN PARTY,AL,1,H0AL01030
WALTER DAVID MARSH,House,CONSTITUTION PARTY,AL,1,H0AL01048
CARL JERRY LEE JR,House,REPUBLICAN PARTY,AL,1,H0AL01055
LAMBERT DOUGLAS WESTLEY III,House,REPUBLICAN PARTY,AL,1,H0AL01063
PRINGLE CHRISTOPHER PAUL,House,REPUBLICAN PARTY,AL,1,H0AL01071
HIGHTOWER BILL,House,REPUBLICAN PARTY,AL,1,H0AL01089
AVERHART JAMES,House,DEMOCRATIC PARTY,AL,2,H0AL01097
GARDNER KIANI A,House,DEMOCRATIC PARTY,AL,1,H0AL01105
CASTORANI JOHN,House,REPUBLICAN PARTY,AL,1,H0AL01121
COLLINS FREDERICK G. RICK',House,DEMOCRATIC PARTY,AL,1,H0AL01139
WYATT CECIL,House,DEMOCRATIC PARTY,AL,2,H0AL02012
BAGGIANO FAYE S,House,DEMOCRATIC PARTY,AL,2,H0AL02046
MCGAHAN WALLACE BYRON JR,House,LIBERTARIAN PARTY,AL,2,H0AL02079
ROBY MARTHA,House,REPUBLICAN PARTY,AL,2,H0AL02087
BARBER RICK JOE,House,REPUBLICAN PARTY,AL,2,H0AL02103
BELL STEPHANIE WOLFE,House,REPUBLICAN PARTY,AL,2,H0AL02111
DISMUKES WILL,House,REPUBLICAN PARTY,AL,2,H0AL02137
COLEMAN JEFF,House,REPUBLICAN PARTY,AL,2,H0AL02145
KING TROY,House,REPUBLICAN PARTY,AL,2,H0AL02152
BROWN THOMAS WILLIAM JR.,House,REPUBLICAN PARTY,AL,2,H0AL02160
TAYLOR JESSICA,House,REPUBLICAN PARTY,AL,2,H0AL02178
HASDORFF TERRI,House,REPUBLICAN PARTY,AL,2,H0AL02194
HARVEY-HALL PHYLLIS,House,DEMOCRATIC PARTY,AL,2,H0AL02202
BROWDER JOHN GLEN,House,DEMOCRATIC PARTY,AL,3,H0AL03036
ROBBINS RAY F II,House,REPUBLICAN PARTY,AL,3,H0AL03044
RICE JOHN,House,REPUBLICAN PARTY,AL,3,H0AL03051
ADAMS CHARLES H,House,DEMOCRATIC PARTY,AL,3,H0AL03077
JAMES MICHAEL K,House,REPUBLICAN PARTY,AL,3,H0AL03093
DIAL GERALD OSCAR,House,DEMOCRATIC PARTY,AL,3,H0AL03101
FORD JOHNNY,House,DEMOCRATIC PARTY,AL,3,H0AL03119
HOLMES DONALD G,House,DEMOCRATIC PARTY,AL,3,H0AL03127
PREUITT JAMES E,House,DEMOCRATIC PARTY,AL,3,H0AL03143
EVANS CHARLES RAY,House,UNKNOWN,AL,3,H0AL03150
SLEDGE ROLAND DONALD,House,REPUBLICAN PARTY,AL,3,H0AL03168
SEGREST STEPHEN GRAHAM,House,DEMOCRATIC PARTY,AL,3,H0AL03184
FOLSOM MARSHA GUTHRIE,House,DEMOCRATIC PARTY,AL,4,H0AL04026
ASQUITH JAMES EDWARD,House,REPUBLICAN PARTY,AL,5,H0AL05031
"CRAMER ROBERT E ""BUD"" JR",House,DEMOCRATIC PARTY,AL,5,H0AL05049
FROST JAMES EDDIE,House,DEMOCRATIC PARTY,AL,5,H0AL05056
GREER BAYLESS LYNN,House,DEMOCRATIC PARTY,AL,5,H0AL05064
TERRY GARLAND DOUGLAS,House,DEMOCRATIC PARTY,AL,5,H0AL05080
PRATT EVELYN,House,DEMOCRATIC PARTY,AL,5,H0AL05098
MCDONALD ALBERT CLYDE,House,REPUBLICAN PARTY,AL,5,H0AL05106
WELLS ANNIE BULLARD,House,REPUBLICAN PARTY,AL,5,H0AL05114
WOOD DAVID ANDREW,House,DEMOCRATIC PARTY,AL,5,H0AL05122
SPEARS WILLIAM EARL,House,DEMOCRATIC PARTY,AL,5,H0AL05148
PHILLIP LESTER S,House,REPUBLICAN PARTY,AL,5,H0AL05155
BROOKS MO,House,REPUBLICAN PARTY,AL,5,H0AL05163
HOWIE MITCHELL JOHN,House,DEMOCRATIC PARTY,AL,5,H0AL05171
SHEPARD TAZEWELL,House,DEMOCRATIC PARTY,AL,5,H0AL05189
RABY STEPHEN WALKER,House,DEMOCRATIC PARTY,AL,5,H0AL05197
LEWIS CHRIS,House,REPUBLICAN PARTY,AL,5,H0AL05205
"CLIFFORD WESLEY BRYANT ""PETE""",House,DEMOCRATIC PARTY,AL,6,H0AL06013
COOKE STANLEY KYLE,House,REPUBLICAN PARTY,AL,6,H0AL06088
LAMBERT PAUL ANTHONY,House,REPUBLICAN PARTY,AL,6,H0AL06096
"BACON JAMES E. ""JIM""",House,REPUBLICAN PARTY,AL,7,H0AL07011
BARKER MICHAEL DEAN,House,REPUBLICAN PARTY,AL,7,H0AL07052
DAVIS ARTUR GENESTRE,House,DEMOCRATIC PARTY,AL,7,H0AL07060
MARTIN ED,House,REPUBLICAN PARTY,AL,7,H0AL07078
SEWELL TERRI A.,House,DEMOCRATIC PARTY,AL,7,H0AL07086
HILLIARD EARL FREDERICK JR,House,DEMOCRATIC PARTY,AL,7,H0AL07094
SMOOT SHEILA,House,DEMOCRATIC PARTY,AL,7,H0AL07102
PERKINS JAMES JR,House,DEMOCRATIC PARTY,AL,7,H0AL07110
MOKOLO PATRICIA EVANS,House,DEMOCRATIC PARTY,AL,7,H0AL07128
WALLER MICHELE,House,REPUBLICAN PARTY,AL,7,H0AL07144
CHAMBERLAIN DON,House,REPUBLICAN PARTY,AL,7,H0AL07177
SALTER CHRIS,House,REPUBLICAN PARTY,AL,7,H0AL07185
GIBSON MICHAEL LEE,House,DEMOCRATIC PARTY,AR,1,H0AR01018
HAYES TERRY OWEN,House,REPUBLICAN PARTY,AR,1,H0AR01026
SUTFIN JASON ERIC,House,REPUBLICAN PARTY,AR,1,H0AR01059
MYSHKA SUSAN J,House,REPUBLICAN PARTY,AR,1,H0AR01067
CRAWFORD ERIC ALAN RICK,House,REPUBLICAN PARTY,AR,1,H0AR01083
CAUSEY CHAD,House,DEMOCRATIC PARTY,AR,1,H0AR01109
WOOLRIDGE TYMOTHE (TIM) LYNN,House,DEMOCRATIC PARTY,AR,1,H0AR01117
SMITH PRINCELLA D,House,REPUBLICAN PARTY,AR,1,H0AR01125
COOK DAVID RAY,House,DEMOCRATIC PARTY,AR,1,H0AR01133
BRYLES STEVE MARK,House,DEMOCRATIC PARTY,AR,1,H0AR01141
GREEN TERRY GLENN,House,DEMOCRATIC PARTY,AR,1,H0AR01166
PONDER BEN,House,DEMOCRATIC PARTY,AR,1,H0AR01174
REID JAMES GILMER,House,DEMOCRATIC PARTY,AR,2,H0AR02024
WHITTEN JAMES ROBERT II,House,DEMOCRATIC PARTY,AR,2,H0AR02032
FULLER RON,House,REPUBLICAN PARTY,AR,2,H0AR02040
"KEET JAMES HOLLAND III ""JIM KEET""",House,REPUBLICAN PARTY,AR,2,H0AR02065
MARTIN ROD D,House,REPUBLICAN PARTY,AR,2,H0AR02073
THOMAS ROBERT GRANT,House,REPUBLICAN PARTY,AR,2,H0AR02081
MEEKS DAVID MARK EMERSON,House,REPUBLICAN PARTY,AR,2,H0AR02099
GRIFFIN JOHN TIMOTHY,House,REPUBLICAN PARTY,AR,2,H0AR02107
WALLACE SCOTT,House,REPUBLICAN PARTY,AR,2,H0AR02115
WILLS ROBERT DALE JR,House,DEMOCRATIC PARTY,AR,2,H0AR02123
ELLIOTT JOYCE ANN,House,DEMOCRATIC PARTY,AR,2,H0AR02131
ADAMS JOHN,House,DEMOCRATIC PARTY,AR,2,H0AR02149
BOLING DAVID ALAN,House,DEMOCRATIC PARTY,AR,2,H0AR02156
KENNEDY PATRICK,House,DEMOCRATIC PARTY,AR,2,H0AR02164
REDMOND RAYMOND DALLAS JR.,House,DEMOCRATIC PARTY,AR,4,H0AR02198
ELLIOTT JOYCE ANN SENATOR,House,DEMOCRATIC PARTY,AR,2,H0AR02206
IVY DANNY CHRIS,House,REPUBLICAN PARTY,AR,3,H0AR03014
WHITAKER DAVID JEFFREY,House,DEMOCRATIC PARTY,AR,3,H0AR03030
MADDOX KURT E,House,REPUBLICAN PARTY,AR,3,H0AR03048
WOMACK STEPHEN A THE HON,House,REPUBLICAN PARTY,AR,3,H0AR03055
BLEDSOE CECILE H,House,REPUBLICAN PARTY,AR,3,H0AR03063
MOORE MIKE C,House,REPUBLICAN PARTY,AR,3,H0AR03071
LOWRY STEVE MR.,House,REPUBLICAN PARTY,AR,3,H0AR03089
MATAYO DOUG,House,REPUBLICAN PARTY,AR,3,H0AR03097
WILLIAMS CELESTE SARENE,House,DEMOCRATIC PARTY,AR,3,H0AR03105
ROOD ROY ELMER,House,REPUBLICAN PARTY,AR,4,H0AR04020
ROSS MICHAEL AVERY,House,DEMOCRATIC PARTY,AR,4,H0AR04038
HARRIS BRUCE C,House,DEMOCRATIC PARTY,AR,4,H0AR04046
GRAHAM CECIL DEWAYNE,House,DEMOCRATIC PARTY,AR,4,H0AR04053
GALLAS GLENN EDWARD,House,REPUBLICAN PARTY,AR,4,H0AR04061
RANKIN BETH ANNE,House,REPUBLICAN PARTY,AR,4,H0AR04079
HANSON WILLIAM MR.,House,DEMOCRATIC PARTY,AR,4,H0AR04087
FALEOMAVAEGA ENI,House,DEMOCRATIC PARTY,AS,0,H0AS00018
SUNIA FOFO I F CONGRESSMAN,House,DEMOCRATIC PARTY,AS,0,H0AS00026
