candidate_id,committee_id,transaction_date,transaction_amount
S2GA00559,C70004262,1/2/2021 0:00,6.67
S8GA00180,C70004262,1/2/2021 0:00,6.67
S0GA00526,C70000716,1/4/2021 0:00,92.2
S4GA11285,C70000716,1/4/2021 0:00,92.2
S2GA00559,C70004262,1/4/2021 0:00,6.67
S8GA00180,C70004262,1/4/2021 0:00,6.67
H8KS03155,C70001979,2/3/2021 0:00,191.03
H8OK05109,C70001979,2/3/2021 0:00,502.33
H0PA10110,C70001979,2/3/2021 0:00,195.78
H4PA18131,C70001979,2/3/2021 0:00,196.35
H0TX02106,C70001979,2/3/2021 0:00,191.39
S0IA00176,C70001979,2/3/2021 0:00,719.39
H2PA17079,C70001979,2/3/2021 0:00,193.73
S0KS00323,C70001979,2/3/2021 0:00,531.12
S0NC00202,C70001979,2/3/2021 0:00,699.71
H8PA15229,C70001979,2/3/2021 0:00,194.07
H8VA07094,C70001979,2/3/2021 0:00,190.69
H0NJ02171,C70001979,2/3/2021 0:00,194.11
H8NM02248,C70001979,2/3/2021 0:00,183.97
P60012143,C70001979,2/3/2021 0:00,48356.73
S8GA00180,C70001979,2/3/2021 0:00,2102.5
H6CA19113,C70001979,2/3/2021 0:00,183.83
H0MO02254,C70001979,2/3/2021 0:00,195.1
S4MI00355,C70001979,2/3/2021 0:00,977.13
H0IN05219,C70001979,2/3/2021 0:00,186.34
S0AZ00350,C70001979,2/3/2021 0:00,359.73
S0MT00173,C70001979,2/3/2021 0:00,690.69
H8AZ08083,C70001979,2/3/2021 0:00,195.35
H8MI08102,C70001979,2/3/2021 0:00,195.41
H8TX22313,C70001979,2/3/2021 0:00,196.57
H8VA02111,C70001979,2/3/2021 0:00,190.71
S0GA00558,C70001979,2/3/2021 0:00,2102.5
H2NV04011,C70001979,2/3/2021 0:00,195.34
H8UT04053,C70001979,2/3/2021 0:00,192.62
S0CO00575,C70001979,2/3/2021 0:00,767.88
H8MI11254,C70001979,2/3/2021 0:00,196.19
H8IA01094,C70001979,2/3/2021 0:00,193.94
H8MN03143,C70001979,2/3/2021 0:00,196.86
H8MT01232,C70001979,2/3/2021 0:00,710.57
H8MN08043,C70001979,2/3/2021 0:00,194.66
H8FL26039,C70001979,2/3/2021 0:00,187.33
H0IA02156,C70001979,2/3/2021 0:00,191.7
S0AL00156,C70001979,2/3/2021 0:00,196.89
S8MN00578,C70001979,2/3/2021 0:00,1035.07
H8CA10126,C70001979,2/3/2021 0:00,186.69
H0CA25154,C70001979,2/3/2021 0:00,189.39
H8IA03124,C70001979,2/3/2021 0:00,195.12
H8PA18181,C70001979,2/3/2021 0:00,195.34
H2LA05126,C70006432,3/18/2021 0:00,3.49
H2LA02131,C70004262,3/19/2021 0:00,7.07
H2LA02131,C70004262,3/19/2021 0:00,10.67
H2OH11151,C70003322,4/15/2021 0:00,1421.09
H2LA02131,C70004262,4/23/2021 0:00,10.67
H2NM01276,C70006432,5/12/2021 0:00,1.73
H2NM01276,C70006432,5/24/2021 0:00,
H2NM01144,C70004262,5/31/2021 0:00,6.66
H2OH11151,C70003322,7/8/2021 0:00,915.24
H2OH11169,C70002563,7/16/2021 0:00,6290.74
H2OH11169,C70002563,7/16/2021 0:00,723.3
H2OH11169,C70002563,7/16/2021 0:00,1440
H2OH11169,C70002563,8/2/2021 0:00,500
