name,ID,treasurer,type,designation
name,committee_id,treasure,type,designation
COMMITTEE TOE ELECT PAUL A YOUNG 20TH CONGRESSIONAL DISTRICT,C00299263,PAUL YOUNG,House,Principal campaign committee
PRO-LIFE MARYLAND FEDERAL PAC,C00299412,MARGARET M. GRIFFIN,PAC - Nonqualified,Unauthorized
MICHAEL CUDDEHE FOR CONGRESS COMMITTEE,C00299552,JERRY OLIVER,House,Principal campaign committee
COMMITTEE TO ELECT GARY HOVIS TO THE U S SENATE,C00299586,GARY F HOVIS,Senate,Principal campaign committee
PAC,C00299610,ROBERT L SAUNDERS,Party - Nonqualified,Unauthorized
MONTANA INDIAN POLITICAL ACTION COMMITTEE,C00299677,PATRICK L. SMITH,PAC - Qualified,Unauthorized
BARBARA BOURLAND FOR U S SENATE,C00300111,BARBARA J BOURLAND,Senate,Authorized by a candidate
WELLS FARGO AND COMPANY EMPLOYEES GOOD GOVERNMENT FEDERAL FUND II,C00300178,AIMONE SHANNON MS.,PAC - Qualified,Lobbyist/Registrant PAC
DC2: DUMP CLINTON DEMOCRATIC COALITION,C00300384,RICHARD GRAYSON,Single Candidate Independent Expenditure,Unauthorized
COALITION FOR A DRUG-FREE AMERICA,C00300459,ANNE FEENEY,PAC - Nonqualified,Unauthorized
BAN INCOME TAX EVERYWHERE (BITE PAC),C00300533,EDWARD J FRAMI,PAC - Nonqualified,Unauthorized
DOLE FOR PRESIDENT INC,C00300608,ROBERT J DOLE,Presidential,Authorized by a candidate
DOC MADARANG FOR CONGRESS,C00300848,YOAV KATZ,House,Principal campaign committee
FIRST NATIONAL OF NEBRASKA PAC,C00300863,CASTNER ANNA  ,PAC - Qualified,Unauthorized
BOB SCHAFFER FOR CONGRESS,C00302349,ARTHUR L WILLIS II,House,Principal campaign committee
ZIMMER FOR SENATE INC,C00302646,THERESA DANIELS,Senate,Principal campaign committee
HOSANNA GRAY-HILL AND POWELL DEVINE ORDER WAY 2004 YEAR OF JUBILEE PRESIDENTIAL CAMAPIGN,C00303107,ELDER LARRY MOODY,Presidential,Principal campaign committee
DAN WILLIAMS FOR CONGRESS,C00303123,PAMELA J BEAUMONT,House,Principal campaign committee
JOHN SAFRAN FOR PRESIDENT,C00303479,EDWIN W HURD,Presidential,Principal campaign committee
DRAFT AL GORE FOR PRESIDENT VOTER'S COMMITTEE,C00303545,EUGENE K SCHUMANN,Single Candidate Independent Expenditure,Unauthorized
GROUP FOR DRAFTING CONGRESSMAN JOHN KASICH FOR PRESIDENT '96,C00303776,GENE DAVIS,Single Candidate Independent Expenditure,Unauthorized
MONTANANS FOR REHBERG,C00303982,LORNA KUNEY,Senate,Principal campaign committee
COMMITTEE TO ELECT DAVID J MORASCINI PRESIDENT,C00304014,NORMAN A NADEAU,Presidential,Principal campaign committee
BEN BIUS COMMITTEE,C00304204,DUSKY HALL,House,Principal campaign committee
WHITE HOUSE CANDIDATE COMMITTEE FOR ROBERT A SELWA,C00304303,ROBERT A SELWA,Presidential,Principal campaign committee
LOGAN MCGINNESS FOR CONGRESS COMMITTEE,C00079517,W. S. MCGINNESS,House,Principal campaign committee
PHIL YARBROUGH REPUBLICAN FOR CONGRESS,C00304329,SUSAN E SICILIANO,House,Principal campaign committee
CAMPBELL FOR CONGRESS,C00304733,JODY E FLYNN,House,Principal campaign committee
ENID '96,C00304881,ENID GREENE,House,Principal campaign committee
NETHERCUTT FOR CONGRESS '96,C00304931,LOWELL V RUEN,House,Authorized by a candidate
TOM BARLOW SENATE COMMITTEE,C00305128,RICHARD C. ROBERTS,Senate,Principal campaign committee
KARIN DOWDY FOR CONGRESS,C00305201,MARLENE QUAYLE DUFFIN,House,Principal campaign committee
INDEPENDENCE PARTY OF MINNESOTA,C00305268,Craig Swaggert,Party - Nonqualified,Unauthorized
CITIZENS FOR GEORGE W SCHNARRE,C00305508,GEORGE W SCHNARRE,House,Principal campaign committee
CALIFORNIA VOTER GUIDE,C00305706,LEEANN FITZGERALD,PAC - Nonqualified,Unauthorized
